,Index Name,Index - 9,Index - 8,Index - 7,Index - 6,Index - 5,Index - 4,Index - 3,Index - 2,Index - 1,Index - 0,index ecb,index fed,Index + 1
0,V2X Index,0.0010447826228392465,0.00584065072954143,0.003832401215922321,-0.027519006640310817,-0.10356450825937635,-0.045085897210381365,-0.011265283779791524,0.0051641386879199835,0.054049774334124834,0.015778553395903838,"1126,1471",96,0.010596794000609755
1,MOVE Index,-0.0214970046480083,0.007891049579223264,-0.013175448914667598,-0.008435954796884637,0.0,0.026303223273864695,0.0005563075601973111,0.0014547532048858614,0.00742202146811799,0.0,975,568,0.014491968150916357
2,SPX Index,-0.0018719154129476223,-0.008154095918303739,0.023588387634098318,0.004085962101079588,0.003492597492273042,0.0033004569962260533,0.0008846130395072649,-0.011303756111463947,0.005039672807616746,0.00015582470255193215,"78,806","328,695",0.016262547567990282
3,SPX Index,0.004979922087049893,-0.0008644791200298485,0.0016771742275309975,0.0,0.006029862181035739,-0.0010828646208507209,0.0004189031146832889,0.0014922378935526837,0.0010175023940544037,-0.002581660667547503,"560,1405",118,0.013581181939564146
4,EURUSD Curncy,0.0003603279022861283,-0.0018931716269706966,0.005579066032346647,-0.0030556328259660065,-0.0011708021331120755,-0.001623376979890609,-0.002349540209717643,-0.006444315472137349,-0.0007287302198973611,-0.0003645643496447276,404,261,0.00509184588035301
5,SPX Index,0.00181543501289827,-0.0031847248870446876,-0.011381383944921275,-0.003777704817572669,-0.00010138503227707929,0.006300100010277809,-0.0031057840714820983,0.016510892525584353,-0.0005800704533900358,0.004807171488048212,1479,"545,665",0.005304004689709707
6,EURUSDV1M Curncy,-0.02673956104189923,0.018792499349367553,-0.006018072325562951,-0.010068065426061423,-0.021858793812499222,-0.005540180375615211,0.024692612590371255,-0.010899290458035615,0.024358443832040333,0.0,643,734,0.0
7,CVIX Index,-0.03511795563956843,0.006280525812113247,0.001286523248961835,0.00791435986409228,-0.03189310702060588,-0.01876698587037451,-0.009504620755413917,-0.010522228236112596,0.018542216332160688,-0.01476550436814561,264,111,-0.005717286744643335
8,EURUSDV1M Curncy,-0.031264039507806096,0.027090940827180887,-0.0003637024953713208,-0.0299080811297312,-0.036062287942705495,0.0034910819009845717,0.02050469462860427,0.005297023357869968,-0.02638271926165414,0.016141780148259954,"1188,420",573,-0.0003813155432283999
9,MOVE Index,-0.0034954262337789643,-0.0029457722106878137,-0.01820748880063583,0.007749202959966617,0.011867030137368673,0.062491138439849436,0.027487588796331508,-0.021574588944353934,-0.02611432019179194,0.0,873,355,-0.020451897667714825
10,SPX Index,0.0001758440102275216,-0.0034095813595058644,-0.006552626285154517,0.0035755356654512127,-0.006195889687755418,0.0028247279603137443,0.0068241647017259766,0.004677163660893768,-0.005276251069020077,0.007360474259664684,819,29,-0.001617376729949882
11,V2X Index,-0.035787027865533894,0.10447380796579431,-0.028211018352797712,-0.07464262786031473,-0.03909930677339846,0.04737529145674868,-0.013440809412803567,0.07054007320863231,-0.033561172369339864,0.019053836714331585,490,"83,87,584",-0.03549443533377694
12,SPX Index,-0.00012227928604158222,-0.00681005116629585,-0.006546870397736271,-0.004433198871882205,-0.0016675295681620739,0.021980157782961918,0.0037648601743320853,0.011016142751233637,0.0019488592414456107,-0.00139891479970089,0,437,-0.00011550945457727835
13,EURUSDV1M Curncy,0.09450489083093139,-0.06856602467207829,0.00027828022998566126,0.07759976206771091,-0.044217729477486145,-0.006479504310986428,-0.0048873298476719285,-0.05770292787463838,-0.015400565895542062,0.041583051841185714,711,98,0.0005616400035308722
14,SPX Index,-0.035439357636644075,0.01304421169852965,0.016421015989455334,0.02832224117975901,0.009684728146494237,-0.008367252239400713,-0.024143677727076707,0.011714574664767774,0.037347060925207565,0.0,239,648,0.002530185750124758
15,VIX Index,-0.020055366813348297,-0.022818219350569713,0.10413508306822106,-0.06442534135136002,0.09411600230648398,-0.11285084316706451,-0.02664331471121617,-0.1417535026142449,0.003269757681556573,-0.06403085169199407,1727,232,0.15249202958798147
16,MOVE Index,-0.01820748880063583,0.007749202959966617,0.011867030137368673,0.062491138439849436,0.027487588796331508,-0.021574588944353934,-0.02611432019179194,0.0,-0.020451897667714825,0.04855452875512434,873,355,-0.011566824791813701
17,EURUSDV1M Curncy,-0.015748356968139143,-0.016000341346441127,0.0053619431413853835,0.03158157205029899,-0.03694351519168437,0.0725706928348353,-0.040821994520255034,8.332986130388242e-05,0.0799593778122325,-0.014528100562909652,1199,12,-0.009804000096620857
18,VIX Index,-0.04701396476817621,-0.006230549750636083,0.03907046148144877,0.05907659965807577,-0.1036308194957809,-0.006304197395785582,-0.050253685186941954,0.006628027578413409,0.12263408173535639,0.08670697225074164,755,331,-0.11786676320698275
19,MOVE Index,0.01613491587123672,0.013209570210032773,0.011738575308724464,-0.04632237088715119,0.0041243920985714055,-0.008419034021096117,0.0045455370701681375,-0.03484376604288553,-0.006036778712753765,-0.012085450470133097,819,29,-0.045922023556887126
20,V2X Index,0.022171550116650618,0.08883042209735725,0.049454768088680545,-0.07829172640247739,-0.06510744807936453,-0.041420167313022116,-0.062218437786057734,-0.053103005600885655,0.12212970775651844,-0.0616351168534055,59,402,-0.03776117661702516
21,MOVE Index,-0.10626377407294774,-0.005805172830897654,-0.009296300317802153,0.0030252388382741024,0.029345654426542467,-0.041309091236387374,0.06824867953646008,0.0,0.12349491502254217,-0.003290390336990967,983,212,-0.008018059112680831
22,V2X Index,0.009448202329833677,-0.09420329299588914,0.08352731650993794,0.09982617625850532,0.005094385669651036,-0.040837015060844806,-0.005840095429561654,-0.09353184094474631,0.00380503505662233,-0.007379394567441633,404,261,0.03925207277833698
23,V2X Index,-0.058124415822921716,-0.04687683444734514,-0.001161837571177049,-0.001315482107262067,0.018090187159227167,0.014172747229587834,-0.044224838780347664,-0.07401651013326216,-0.0063629712604251765,0.040412905091755214,1185,484,-0.048733731383229006
24,SX5E Index,0.00597480295990227,0.009070028809908592,-0.023806854401359878,-0.017775245821771257,-0.00928068695788209,-0.010453489000885163,0.007254638705664895,-0.014368544339313338,-0.01812626894558722,0.014326996552331828,1192,548,0.005910123269043055
25,SX5E Index,-0.0007724775687112384,-0.0018117461822289016,0.0031011951447261765,0.01605920077579448,0.0008731404999977599,0.0,0.0,0.0036915812326778763,6.81102250332799e-06,-0.0011176282006015725,643,734,0.0
26,CVIX Index,-0.0008791434466175474,-0.0560379047947861,0.0032639988583791357,-0.011552867289676527,0.009804977376159929,0.022646379891284152,0.005240401680581819,0.047808319852832515,-0.026756372259739702,0.04226081603337617,802,313,0.0
27,EURUSDV1M Curncy,-0.054289404699480404,0.029711038653275068,0.0014626300691444882,-0.01561380961538772,0.017074303521848133,-0.00029192818773982054,-0.027528747409592214,0.01459879942115272,0.011176586931415322,0.021126527320191713,1119,457,-0.017331456351640018
28,EURUSDV1M Curncy,0.035606509703020706,-0.03911025592159545,-0.016082688232745834,0.056113048497739015,0.006417134320633178,0.009096484798303273,-0.03626703548826038,-0.06932827313356382,0.008351476634848254,0.010259894732829178,309,492,-0.033141108311926404
29,SRVIX Index,0.0022720488099841063,0.000955109910237617,0.004405555735448097,-0.009430090770834454,0.0016776516816783271,0.0,-0.008537297088720308,-0.001934002778575028,0.0008465864930853328,0.004342588247792989,"1008,531,1319,1389",168,-0.0031344208904906523
30,V2X Index,-0.008310821297341064,-0.04692248621679074,0.012794321501097716,-0.0722422544684247,-0.08971897586709332,-0.009168655495383593,0.1605565379285525,-0.0444911611550074,0.03961987339990625,-0.003499486208581981,782,18,0.007929478048836813
31,SPX Index,-0.028863546294817688,0.02223933180636095,0.0177078498937,0.018138219223145846,-0.008196802528920522,0.033555597853170305,0.000543835222968525,0.009747079611157616,-0.002978130791599476,0.017231013084970215,"910,1374",523,-0.01955996128718951
32,SRVIX Index,-0.0018227114834248326,-0.0028012928616458765,0.007775522105006871,-0.00048420289046724463,0.0,0.010958024034184,0.0744073285397322,-0.010505237425702418,-0.0038271095789239595,-0.009632348258344692,"1514,1385,867","304,97",-0.009611057964078462
33,VIX Index,0.03074012535969528,0.03956994968697236,-0.023553591298397958,-0.001988072225385995,-0.007992050531338002,0.10465816274679884,0.008097210232619112,0.006252811797187174,0.006213956967942913,-0.1424203400417685,1507,275,0.06899287148695121
34,SX5E Index,-0.009088685016366504,-0.0026414479554608405,0.01120584104610245,0.004951428900747956,-0.006971016909268712,0.007559159376317126,-0.00394750931159038,0.01069795001812679,-0.002517395133095235,-0.0018673585290578387,498,492,0.02041981785546909
35,VIX Index,-0.028009833404064377,0.02065477903074564,-0.0034129725962395163,0.0034129725962395163,0.018565934122535488,-0.031137528264458147,-0.07645513117730873,0.018450707913116204,0.004863231469508289,-0.06514513322775306,683,579,0.06393154084579411
36,EURUSDV1M Curncy,-0.004987541511038973,-0.04342955792733649,-0.06471260069236706,0.022039459566291608,-0.01371763622879918,0.019152432214756043,-0.008163310639160759,-0.022100347000665987,0.0,0.05171220104731056,782,18,0.03646237253735496
37,V2X Index,0.0033657435895246834,0.061153737001201414,-0.004962884072124307,-0.018706574972981116,0.11934480795187552,0.016296103911400017,-0.004927726134977828,0.20697407643892873,0.09182487480524992,-0.21784172169970217,"1514,1385,867",205,-0.006624742262302696
38,SPX Index,0.0001304404541180304,-0.003993383559691033,-0.013948841925725652,-0.0015947906895288355,0.00482823867256954,0.019667369768091802,0.000663134777607155,0.0023175148199863216,0.0,0.012942205804868046,1601,75,-0.002031654720931364
